name,id,sp_attack,sp_defense,speed,"ability
"
BuLbaSaur1,1,65,65,45,"OvErgRow
"
IvYSAUr1,2,80,80,60,"OVerGrOW
"
VENUSAur1,3,122,120,80,"OVErgRoW
"
CHARMAndER1,4,60,50,65,"BLAZe
"
CHaRMEleoN1,5,80,65,80,"BLAze
"
ChaRIzArD1,6,159,115,100,"Blaze
"
SqUirTlE1,7,50,64,43,"TorRenT
"
WArToRTLe1,8,65,80,58,"TORREnt
"
BlasTOiSE1,9,135,115,78,"TorreNT
"
CateRPiE1,10,20,20,45,"ShIeLd DUst
"
METapOd1,11,25,25,30,"ShED Skin
"
BuTTerfReE1,12,90,80,70,"COMpoUNDEYEs
"
WEedLE1,13,20,20,50,"SHieLD DUst
"
KakuNa1,14,25,25,35,"SHeD SkiN
"
BEEDRILl1,15,15,80,145,"SwaRm
"
PIDGeY1,16,35,35,56,"KeEn EyE
"
PiDgeoTto1,17,50,50,71,"KEen EYe
"
PIdGeot1,18,135,80,121,"KeEn Eye
"
RAttAta1,19,25,35,72,"RuN AWAy
"
RatICATE1,20,40,80,77,"Run AwaY
"
SpeaRow1,21,31,31,70,"KEEN Eye
"
FEARow1,22,61,61,100,"KEEn EYE
"
EkAns1,23,40,54,55,"INTImIdaTE
"
ARBOK1,24,65,79,80,"INTImidAtE
"
PikaCHu1,25,50,50,90,"StATic
"
RaiChu1,26,95,85,110,"STaTIC
"
SanDSHREW1,27,10,35,40,"SAnD VeIL
"
SanDSlaSH1,28,25,65,65,"SANd VEil
"
NIdoRan-h1,29,40,40,41,"POisOn Point
"
NidORInA1,30,55,55,56,"POisoN POINT
"
NiDOqUeEN1,31,75,85,76,"PoISON POINt
"
NiDOraN-M1,32,40,40,50,"PoisoN PoiNt
"
NIDoRInO1,33,55,55,65,"PoiSon PoINT
"
NidOKiNg1,34,85,75,85,"POISon POInT
"
CleFAIRy1,35,60,65,35,"Cute ChaRM
"
CLeFable1,36,95,90,60,"CUTE CharM
"
VUlpIx1,37,50,65,65,"FLAsh FIrE
"
NINEtaLeS1,38,81,100,109,"FLAsH FIrE
"
JIGGLyPuFF1,39,45,25,20,"CuTE ChaRm
"
WiGglYtUFF1,40,85,50,45,"CutE ChARm
"
ZuBat1,41,30,40,55,"InNer FOCuS
"
GOLBaT1,42,65,75,90,"InneR FOcUs
"
OddISH1,43,75,65,30,"CHLorOphyLl
"
GlOom1,44,85,75,40,"CHLOrOPHyLl
"
ViLEPlUMe1,45,110,90,50,"CHlORoPHYlL
"
PARaS1,46,45,55,25,"EFfecT SpORe
"
ParaseCt1,47,60,80,30,"EFFecT SPoRE
"
VenoNat1,48,40,55,45,"COMPoundEYeS
"
VenomOtH1,49,90,75,90,"SHIeLd DUsT
"
DIgLeTt1,50,35,45,90,"SAND VeIL
"
DUgTRIO1,51,50,70,110,"SAnD VeiL
"
MeOwtH1,52,50,40,90,"PIckuP
"
PErsiAn1,53,75,65,115,"LImBer
"
PSYDUck1,54,65,50,55,"DAMp
"
GOlDUCk1,55,95,80,85,"DAmp
"
MankeY1,56,35,45,70,"VitAl SpIRIt
"
PRimeApe1,57,60,70,95,"VITAl SPIrIt
"
